"社區ID","社區名稱","縣市","鄉鎮市區","完整地址","緯度","經度","社區簡介","計畫成果重點","社區照片網址","照片替代文字","YouTube影片網址","是否發布","顯示順序"
"C012","社團法人南投縣竹山鎮延正社區發展協會","南投縣","竹山鎮","南投縣竹山鎮延正里延正路70號","23.772992","120.697891","延正社區以科技賦能高齡照護，培訓資訊種子志工陪伴長者使用智慧裝置，並把健康資料傳送至醫療端。社區另建置可供協力社區使用的管理系統，逐步形成跨據點的數位照護網絡。","截至 7 月底已有 70 名長者登錄健康管理系統，累計服務 9,835 人次；投入 10 萬元建置社區管理系統，供延正、竹山、籐湖等 5 個協力社區使用；系統整合志工與個案健康管理等 5 大功能，並以雲端儲存降低資料遺失風險；辦理 2 場方案工作坊共 20 人參與，持續培養居民的數位應用能力","./assets/community/C012.webp","延正社區居民參與 AI 數位科技培力課程","","是","12"
"C013","社團法人彰化縣彰化市忠權社區發展協會","彰化縣","彰化市","彰化縣彰化市忠權里自立街146號","24.086069","120.537092","忠權社區透過生活化數位課程，陪伴長者學習科技工具，並持續擴充時間銀行的陪伴、代辦及送餐服務。串聯志工與遠距健康照護資源，協助居民使用健康管理平台，讓數位學習與生活互助相互支持，逐步深化跨社區合作。","6 月 16 日辦理首堂社區數位課程，30 位長者參與，並完成 60 份前後測問卷；時間銀行服務由 8 項擴增至 10 項，新增短時陪伴、外出代辦與送餐，招募 6 名專長志工、累計提供 21 次服務；串接「遠距健康照護管理服務計畫」，建置健康資料 15 筆、執行藥物提醒 5 件；參與「彰化共力共生生活圈」，串聯 8 鄉鎮、24 個社區每月辦理聯繫會報。","","","","是","13"
"C014","社團法人嘉義市東區精忠社區發展協會","嘉義市","東區","嘉義市東區圳頭里精忠一村1-6號","23.49157","120.47674","精忠社區以無人機足球打開長者接觸科技的入口，讓兒少化身小教練，陪伴長者從操作到競賽。科技活動進一步串聯健康、教育、志工培力與跨社區交流，形成長者與孩子彼此教學、共同成長的共學圈。","以反向教導模式由兒少陪伴長者學習無人機操作；活動參與率突破 80%，長者與兒少互動頻率提升 35%；結合藥師、營養師及專業講師，把科技活動延伸至健康促進與志工培力；無人機足球模式吸引 8 個跨社區單位參與，並透過線上平台共同討論後續活動","./assets/community/C014.webp","精忠社區長者與兒少在場地中共同體驗無人機足球","","是","14"
"C015","社團法人彰化縣秀水鄉馬興社區發展協會","彰化縣","秀水鄉","彰化縣秀水鄉馬興村西銘巷6-1號","24.062733","120.495685","馬興社區從物資管理與服務流程盤點開始，逐步推動資源整合及數位轉型。社區採分階段策略建立志工、健康與資源管理機制，並透過陪伴式教學降低長者與志工使用數位工具的門檻。","建立物資管理表格並完成社區資源盤點，改善紀錄分散與追蹤不易；以每月聯繫會報串聯志工、社區及地方政府資源；規劃以最小可運作系統優先處理志工管理與健康紀錄，再逐步擴充資源管理；嘗試以 LINE 平台整合居民、志工及後台聯繫，並規劃分齡分級及陪伴式數位教學","./assets/community/C015.webp","馬興社區居民與志工在數位服務說明會中合影","","是","15"
"C016","南投縣埔里鎮珠仔山社區發展協會","南投縣","埔里鎮","南投縣埔里鎮珠格里珠生路36-5號","23.94244","120.958231","珠仔山社區結合數位工具與地方文化，透過LINE多語公告及語言聯絡人，促進不同族群參與。以自動化推播、異常通報及志工支持改善服務聯繫，也延續社區舞台劇與故事創作，讓科技應用、青年參與和文化認同共同支撐在地共生。","以整合式 LINE 官方帳號建置多語言公告與「語言聯絡人」制度，為 36 位印尼、越南籍居民搭建參與橋樑；完成 Mac mini M4、n8n 自動化工具、Google Sheets 資料庫與 LINE、Claude API 整合，開發 9 組自動化工作流（WF-01～WF-09），已具備每日推播與異常通報功能；由理事長帶領多元就業返鄉青年協助行政，並延續社區舞台劇與社區故事創作。","","","","是","16"
"C017","雲林縣大埤鄉尚義社區發展協會","雲林縣","大埤鄉","雲林縣大埤鄉尚義村尚義6-5號","23.631023","120.462631","尚義社區把健康量測、雲端紀錄與生活化提醒帶進偏鄉長者的日常，並由年輕志工陪伴長者理解數據。無人機足球、影像創作及共生菜園等活動也讓長者、青年與身心障礙者從接受服務走向共同參與。","與臺大醫院雲林分院合作導入血壓、心率等健康量測與雲端資料分析；建立 LINE 官方帳號及互助群組，異常數據可通知管理員追蹤並提供回診參考；以無人機足球、數位攝影及短影音推動青銀雙人學習；發展長者與身心障礙者共同參與的共生菜園，並導入防跌通報及智慧心電圖訪視","./assets/community/C017.webp","尚義社區青年陪伴長者進行無人機足球共學","","是","17"
"C018","嘉義縣房角石福利協會","嘉義縣","義竹鄉","嘉義縣義竹鄉埤前村埤子頭86號","23.346654","120.222792","房角石福利協會以科技、共融與主動照顧翻轉偏鄉長照，讓長者與身心障礙者共同耕作、運動及傳承手藝。智慧設備與身心數據協助工作人員及早發現需求，移工支持團契則把照顧延伸至社區中的隱形照顧者。","原定培訓 5 名志工，實際完成 6 名專業訓練，投入健康量測及智慧器材管理；長者與身心障礙者共同經營掌聲菜園，並由長者擔任手藝傳承師；智慧運動器材使用次數由 19,691 次提升至 69,695 次，成長逾 3.5 倍；心靈小棧協助及早關懷並轉介 1 位長者就醫，另辦理 4 場印尼籍移工支持活動共 50 人次","./assets/community/C018.webp","房角石長者與夥伴在掌聲菜園共同整理植栽","","是","18"
"C019","臺中市新社區崑南社區發展協會","臺中市","新社區","臺中市新社區崑山里崑南街55-1號","24.24154","120.785671","崑南社區以健康共生與智慧同行回應偏鄉高齡化、交通不便及數位落差。醫療評估、互動遊戲、健康平台與陪伴式教學彼此串聯，讓志工成為資源連結者，協助長者在熟悉的社區持續生活。","與東勢農民醫院合作，協助 30 位長者完成 ICOPE 整合照護評估並開立 6 張社會處方箋；以 Switch 互動遊戲訓練反應與肢體協調，並透過平台累積健康數據；由志工採一對一或小組方式陪伴長者學習手機及健康管理系統；串聯區公所、衛生所、醫療與長照資源，並研議社區接送及鄰里互助機制","./assets/community/C019.webp","崑南社區長者與志工分組交流健康與數位服務","","是","19"
"C020","臺南市南區金華社區發展協會","臺南市","南區","臺南市南區金華里慶南街201號","22.98091","120.190399","金華社區以居民熟悉的 LINE 作為數位服務入口，整合課程、共餐、社區公告、防詐與既有 5GO 讚服務。社區同步推動操作陪伴、種子講師及居家安全設備，讓資訊取得與安全照護逐步進入居民日常。","完成 LINE 官方帳號、圖文選單、6 個服務頁面、6 組關鍵字回覆及防詐專區；把平台操作融入既有活動，開始培育智慧科技種子講師；召開 4 次工作會議追蹤平台導入並建立自主推廣量能；社區安聯網已完成 13 戶實體安裝，後續持續進行 APP 串接與測試","./assets/community/C020.webp","金華社區長者使用手機操作 LINE 社區服務平台","","是","20"
"C021","財團法人弘道老人福利基金會-高雄前金林投好客廳","高雄市","前金區","高雄市前金區林投里大同二路54號之11","22.626867","120.294164","林投好客廳把數位學習、智慧健康、趣味健走與跨世代活動串成居民可日常參與的支持網絡。科技用來降低生活門檻，志工與外部夥伴則把量測、健走、奉茶及交流帶進社區。","已辦理 24 堂數位學習課程，協助長者把手機用於資訊查詢與社區參與；啟用智慧健康照顧站，整合血壓、心率、體脂、血氧及 AI 健康小助手；皮克敏趣味健走完成 8 隊組隊、共 40 人參與，並延伸健走巡守與血壓外展；串聯 6 個外部夥伴，天熱奉茶休息站截至 8 月底服務超過 1,500 人次","","","","是","21"
"C022","高雄市大社區觀音社區發展協會","高雄市","大社區","高雄市大社區觀音里新生街51號","22.72616","120.349817","觀音社區從居民需求調查出發，優化健康管理系統並陪伴長者使用科技。社區同時培育銀齡園丁、咖啡職人與修繕達人，讓長者把興趣與經驗轉化為服務，並在迎鄰好客廳持續發揮。","與政府、區公所及大學合作完成 393 份有效需求問卷；CSMS 已有 197 位會員，並為 107 位長者建立健康檔案；培育銀齡園丁、咖啡職人及修繕達人，已有 28 位長者投入三類課程與服務；完成迎鄰好客廳空間及服務模式規劃，作為居民交流、成果展示與互助服務場域","./assets/community/C022.webp","輔英科技大學學生陪伴觀音社區長者使用健康量測設備","","是","22"
"C023","臺南市永康區西灣社區發展協會","臺南市","永康區","臺南市永康區西灣里永華路201巷12號","23.010501","120.258895","西灣社區以數位管理、LINE資訊及志工關懷回應高齡生活需求，推動如同第三家庭的社區支持。透過防災資訊、健康回報、QR Code簽到試辦與跨社區交流，逐步降低資訊落差，並盤點退休人才，擴展居民參與及互助能量。","建立數位化管理機制，整合課程、設備試辦及服務紀錄，提升資料完整性並縮短行政流程；以 LINE 官方帳號整合防災資訊與健康回報功能；推動「第三家庭」概念與「孤獨處方箋計畫」，連結志工團體並建立服務督導機制；4 月舉辦「示範領航・共生共好」跨社區交流會議，凝聚建立人才庫、強化數位平台功能等共識；試辦 QR Code 簽到系統與數位巡邏管理。","","","","是","23"
"C024","高雄市前鎮區路中廟社區發展協會","高雄市","前鎮區","高雄市前鎮區竹西里廣東三街73號3樓","22.609304","120.319865","路中廟社區以時間銀行與時光咖啡屋串聯居民專長，打造交流、培力及互助的公共空間。結合青年服務與任務化散步，促進長者活動及跨世代互動，並規劃AI應用社團，探索以數位工具支持時間交換與社群服務的共生方式。","將傳統時間銀行機制轉化為現代化資源共享平台，讓居民專長得以發揮；「路中廟時光咖啡屋」結合培力、交流及服務，成為公共參與的社會創新據點；規劃成立「社區 AI 應用社團」，以分組運作與固定聚會推動長者同儕學習；與中正高工童軍社合作導入青年參與，以「任務化散步」促進跨世代互動與長者身體活動量。","","","","是","24"
"C025","高雄市林園區文賢社區發展協會","高雄市","林園區","高雄市林園區林園里林園北路179號","22.502668","120.393254","文賢社區從紙本紀錄、檔案分散與巡守通報不易等日常問題出發，將數位工具帶進志工培力與工作流程。線上表單、數位巡邏及 NAS 雲端資料庫，讓服務紀錄更即時，也使社區經驗更容易查找、交接與延續。","培訓志工使用 Google 表單、NAS 雲端管理、拍照錄影及防詐工具；在巡邏據點設置 QR 碼，完成智生活平台後台與班別設定並配置公務手機；目前已有 95% 以上志工使用數位巡邏工具，即時回傳簽到、照片與通報；依行政、兒少、社區照顧、日照、送餐及志工等業務建立 NAS 分類架構","./assets/community/C025.webp","文賢社區志工在數位學習課程中體驗 VR 設備","","是","25"
"C026","臺南市北區勝安社區發展協會","臺南市","北區","臺南市北區長勝里長榮路五段41巷46號A棟1樓","23.012594","120.21999","勝安社區結合社區地圖踏查、志工陪伴與數位工具，支持長者認識生活環境並參與公共事務。串聯大學團隊盤點需求，運用地方故事與文化記憶促進世代交流，並連結健康活動、愛心餐與生活支持，逐步建立在地共生網絡。","由社會局輔導「動齡長勝」社區親職健康行動，以社區地圖踏查與安全地點辨識提升長者環境熟悉度；建立階梯式志工訓練制度，並結合成功大學 USR 團隊進行需求盤點與智慧平台設計；4 月 21 日辦理「臺南市智慧共生示範社區推動實務交流會議」，提出建置人才庫、技術支援對接等重點；以「回憶時光機」保存眷村與閩南族群文化記憶；整合「臺南共照雲」資訊系統與愛心餐等生活支持資源。","","","","是","26"
"C027","金門縣金湖鎮下莊社區發展協會","金門縣","金湖鎮","金門縣金湖鎮山外里下莊50號","24.451645","118.427875","下莊社區由六個散落的聚落組成，銀髮志工帶著繪本走進幼兒園，以戰地故事與孩童交流，也在松柏園舞台演出，讓長者從被照顧者轉為服務者。面對聚落分散、交通接送與數位落差的挑戰，社區持續推動志工培力與代間共學，串聯金門大學青年學子，逐步鋪出在地接班的路徑。","以社區照顧關懷據點推動「角色翻轉」，銀髮志工帶繪本進幼兒園講戰地故事，並於松柏園舞台表演服務；在「大旗艦計畫」下辦理志工能量再進化課程與代間共學活動，以「大手牽小手暑期營」連結不同世代；串聯金門大學學生與社區兒童互動，形成「兒童至青年」的培育路徑；面對六個聚落分散、533 位居民中 65 歲以上佔 23% 的人口結構，持續推動數位培力，並整理健康管理、青銀共創經驗作為其他社區參考案例。","","","","是","27"
"C028","屏東縣內埔鄉黎明社區發展協會","屏東縣","內埔鄉","屏東縣內埔鄉黎明村黎東路353號","22.68956","120.602514","黎明社區與屏東科技大學以青銀共創改善公共空間，並把數位模擬、3D 列印與雷雕帶進社區行動。從古厝景觀、九重葛步道到戰鬥陀螺與互助市集，居民逐步成為場域規劃與活動發起的主體。","居民與屏科大合作運用燒杉技術完成汪家古厝木製圍欄，並以互助點數維護植栽；以 3D 列印及雷雕製作活動小禮物，連結傳統生活與數位創作；透過數位模擬、社群宣傳與居民參與打造九重葛藤蔓步道；黎明盃戰鬥陀螺首場吸引上百人，後續由居民接力辦理逾 10 場並結合互助市集與在地音樂","","","","是","28"
"C029","臺東縣卑南鄉賓朗村辦公室","臺東縣","卑南鄉","臺東縣卑南鄉賓朗村18鄰賓朗路474巷3號","22.808209","121.092904","賓朗村以運動換金幣串聯健康照護、跨族群志工與在地商家。長者透過健康量測取得 TTPush 電子金幣，青年提供數位協助，長者則分享卑南文化與生活知識，形成雙向支持。","由卑南族長者、閩南新住民與返鄉青年組成 10 人數位互助團；完成 2 家在地商家的 TTPush 特約店簽約測試，建立運動換金幣及在地消費循環；青年協助操作智慧健康監測站，並向長者學習傳統歌謠與農耕知識；參與長者運動頻率提升 37%，合作商家在地消費額增加 22%","./assets/community/C029.webp","賓朗村長者、志工與合作夥伴在社區活動後合影","","是","29"
"C030","花蓮縣花蓮市碧雲莊社區發展協會","花蓮縣","花蓮市","花蓮縣花蓮市國興里介禮街46號","23.997208","121.573083","碧雲莊以人為核心，運用科技連結生命故事、新移工展能、銀髮健身與雲幣互助。計畫也帶動青年與核心志工接棒，讓數位工具、共享書箱及跨社區學習持續在居民日常運轉。","培力 19 位生命整理師，完成 12 篇長者生命故事，其中 4 篇發展為 26 頁繪本初稿；完成 4 部新移工主題影片，促進居民理解照顧者的生活與貢獻；銀髮健身俱樂部完成 53 人、102 人次體驗，並有 6 人持續加入課程；3 位青年完成雲幣 APP 更新，帶動 30 位居民每人至少 3 次實作，志工接續推動擴散；修復 6 座小小自由圖書館並更新書箱地圖，活化共享據點","./assets/community/C030.webp","碧雲莊長者在教練陪伴下使用銀髮健身器材","","是","30"
