"社區ID","社區名稱","縣市","鄉鎮市區","完整地址","緯度","經度","社區簡介","計畫成果重點","社區照片網址","照片替代文字","YouTube影片網址","是否發布","顯示順序"
"C012","社團法人南投縣竹山鎮延正社區發展協會","南投縣","竹山鎮","南投縣竹山鎮延正里延正路70號","23.772992","120.697891","延正社區結合數位培力、健康管理與社區資源，培訓資訊種子志工陪伴長者使用智慧裝置。透過手機與LINE傳遞健康資訊，並建置包含志工及個案管理的社區系統，與協力社區共享服務工具，推動科技融入在地照顧。","培力資訊種子志工，7 月起教導長者使用智慧裝置，以手機 APP 及 LINE 官方帳號將健康數據即時傳遞至醫療單位；截至 7 月底累計 70 名長者登錄管理系統，總服務人次達 9,835 次；投入 10 萬元建置社區管理系統，含志工與個案健康管理等 5 大功能，提供延正、竹山、藤湖等 5 個協力社區使用；辦理 2 場方案工作坊、20 人參與。","","","","是","12"
"C013","社團法人彰化縣彰化市忠權社區發展協會","彰化縣","彰化市","彰化縣彰化市忠權里自立街146號","24.086069","120.537092","忠權社區透過生活化數位課程，陪伴長者學習科技工具，並持續擴充時間銀行的陪伴、代辦及送餐服務。串聯志工與遠距健康照護資源，協助居民使用健康管理平台，讓數位學習與生活互助相互支持，逐步深化跨社區合作。","6 月 16 日辦理首堂社區數位課程，30 位長者參與，並完成 60 份前後測問卷；時間銀行服務由 8 項擴增至 10 項，新增短時陪伴、外出代辦與送餐，招募 6 名專長志工、累計提供 21 次服務；串接「遠距健康照護管理服務計畫」，建置健康資料 15 筆、執行藥物提醒 5 件；參與「彰化共力共生生活圈」，串聯 8 鄉鎮、24 個社區每月辦理聯繫會報。","","","","是","13"
"C014","社團法人嘉義市東區精忠社區發展協會","嘉義市","東區","嘉義市東區圳頭里精忠一村1-6號","23.49157","120.47674","精忠社區以無人機足球開啟青銀共學，讓兒少擔任小教練，陪伴長者接觸科技、享受團隊合作。社區也結合藥師、營養師及跨社區夥伴，將共學延伸至健康促進與防暴教育，透過雙向教學與交流，增進居民參與和世代連結。","以「無人機足球」開啟青銀共學，由兒少寶貝基地的孩童擔任小教練，形成長者向孩子學習的「反向教導」模式；活動參與率突破 80%，長者與兒少互動頻率提升 35%；聘請藥師、營養師設計健康課程，與 14 個社區單位合作推動共生共學培訓，吸引 8 個跨社區單位參與；獲嘉義市政府行政輔導與經費支持，成為縣市級示範案例。","","","","是","14"
"C015","社團法人彰化縣秀水鄉馬興社區發展協會","彰化縣","秀水鄉","彰化縣秀水鄉馬興村西銘巷6-1號","24.062733","120.495685","馬興社區從資源盤點與物資表格管理起步，逐步改善資料分散、服務難以追蹤的問題。以志工支持長者及跨單位聯繫為基礎，嘗試運用LINE串聯服務，並採分階段方式規劃志工管理、健康紀錄與資源整合，推動符合在地能力的數位轉型。","建立物資管理表格系統，完成社區資源盤點並開始記錄使用情形，改善過去紀錄分散、難以追蹤的困境；形成「志工支持長者、社區整合資源」模式，以每月聯繫會報串聯地方政府；規劃採「最小可運作系統」分階段推動，優先建置志工管理與健康紀錄，再擴及資源管理；以 LINE 平台初步整合居民、志工與後台管理。","","","","是","15"
"C016","南投縣埔里鎮珠仔山社區發展協會","南投縣","埔里鎮","南投縣埔里鎮珠格里珠生路36-5號","23.94244","120.958231","珠仔山社區結合數位工具與地方文化，透過LINE多語公告及語言聯絡人，促進不同族群參與。以自動化推播、異常通報及志工支持改善服務聯繫，也延續社區舞台劇與故事創作，讓科技應用、青年參與和文化認同共同支撐在地共生。","以整合式 LINE 官方帳號建置多語言公告與「語言聯絡人」制度，為 36 位印尼、越南籍居民搭建參與橋樑；完成 Mac mini M4、n8n 自動化工具、Google Sheets 資料庫與 LINE、Claude API 整合，開發 9 組自動化工作流（WF-01～WF-09），已具備每日推播與異常通報功能；由理事長帶領多元就業返鄉青年協助行政，並延續社區舞台劇與社區故事創作。","","","","是","16"
"C017","雲林縣大埤鄉尚義社區發展協會","雲林縣","大埤鄉","雲林縣大埤鄉尚義村尚義6-5號","23.631023","120.462631","尚義社區結合健康量測、雲端紀錄與LINE聯繫，協助長者理解健康資訊，並在數據異常時追蹤關懷。透過青年陪伴的數位學習、無人機足球與共生菜園，連結長者、身心障礙者及返鄉青年，讓智慧照護融入跨世代互助的日常。","與臺大醫院雲林分院合作導入健康量測設備，結合雲端分析與視覺化表單，血壓脈搏異常時自動通報管理員追蹤並回傳長者或提供回診參考；115 年 3 至 9 月辦理跨世代共生課程，以無人機足球、數位攝影與短影音組成青銀「雙人學習小組」；將「共生菜園」拓展為身心障礙者與長者共同參與的空間；建立在地培力機制，培訓年輕人與志工擔任數位導師。","","","","是","17"
"C018","嘉義縣房角石福利協會","嘉義縣","義竹鄉","嘉義縣義竹鄉埤前村埤子頭86號","23.346654","120.222792","房角石福利協會透過志工培訓、健康量測與數據化運動設備，支持長者及身心障礙者參與健康活動。結合幼兒園推動老幼共融，並規劃外籍照顧者交流及培力，串聯在地通報與專業資源，逐步拓展多元族群共同參與的健康支持網絡。","志工培訓由原定 5 人提高至 6 人完訓（達成率 120%），完訓後投入血壓量測與器材管理；導入 WHO-5 幸福指標前後測與 HCare-Mini 壓力變動等量化考核流程；運用數據化運動設備提供即時回饋，提升長者運動參與動機與正確性；與幼兒園合作推動老幼共融，並規劃外籍照顧者友善交流空間，籌備「共生健康俱樂部」擴大開放時段與服務對象。","","","","是","18"
"C019","臺中市新社區崑南社區發展協會","臺中市","新社區","臺中市新社區崑山里崑南街55-1號","24.24154","120.785671","崑南社區以長者健康評估搭配健康促進課程，將互動遊戲、健康量測與LINE紀錄融入日常照顧。透過志工陪伴式數位教學及跨單位資源整合，協助長者跨越科技門檻，並探索接送與鄰里互助，讓居民更容易參與社區生活。","2025 年 3 月與東勢農民醫院醫療團隊合作，為 30 位長者完成 ICOPE 健康評估；以 Switch 互動遊戲課程提升認知功能，健康量測透過 LINE 平台即時紀錄，形成完整健康資料庫；採陪伴式教學培訓 10 位志工成為數位導師，並以分齡教學與點數回饋提升長者智慧手機使用率；發展「志工連結者」角色，運用 iCOPE 家屬版評估工具辨識長者需求。","","","","是","19"
"C020","臺南市南區金華社區發展協會","臺南市","南區","臺南市南區金華里慶南街201號","22.98091","120.190399","金華社區建置LINE官方帳號，整合社區資訊、關鍵字回覆與防詐入口，讓居民更方便接觸服務。結合節慶活動、操作體驗及種子志工陪伴，串聯商家、照護與福利資源，並規劃跨社區交流，逐步深化數位近用與居民互助。","建置 LINE 官方帳號，含圖文選單、6 個頁面串接、6 組關鍵字回覆及防詐專區入口，功能測試正常；於元宵、端午活動與理監事會議推廣，培訓幹部與居民註冊使用；整合社區幹部、志工、商家、照護與福利等至少 5 類外部資源，完成社區安聯網 13 戶實體安裝；規劃與西灣、勝安社區交流，並參與臺南市金點培植 2.0 成果交流會。","","","","是","20"
"C021","財團法人弘道老人福利基金會-高雄前金林投好客廳","高雄市","前金區","高雄市前金區林投里大同二路54號之11","22.626867","120.294164","林投好客廳以奉茶休息站、不老飲料吧及戶外座位，打造鄰里自然相遇的交流空間。透過街區漫遊、攝影展示與親子調飲課，串起地方記憶和跨世代互動；搭配LINE及線上報名教學，讓長者更容易取得資訊、參與街區生活。","「天熱奉茶休息站」5 月啟用，由林堉璘基金會贊助設置，累計服務 60 人次以上；「街區漫遊暨攝影比賽」徵件突破 30 件，社區廣場展出吸引逾 200 人次觀賞；「不老飲料吧」與戶外座位區截至 6 月累計服務 240 人次，並辦理趣味調飲課與暑期親子課程；以 LINE 官方帳號及 Google 表單教學長者線上報名；辦理行動書車暨健康講座，30 位居民參與。","","","","是","21"
"C022","高雄市大社區觀音社區發展協會","高雄市","大社區","高雄市大社區觀音里新生街51號","22.72616","120.349817","觀音社區透過香草園手作與銀齡咖啡職人培訓，讓長者分享經驗，與孩童共同學習。結合健康課程、數位平台教學及學習護照，串聯學校和專業資源，鼓勵居民持續參與，將照顧服務轉化為跨世代共創與彼此支持的生活。","辦理香草 DIY 手作活動，長者分享種植經驗、孩童繪製香草圖鑑，共同參與自然觀察；5 月 15 日由義大醫院營養師到據點辦理口腔保健宣導課程；開辦「迎鄰好客廳」銀齡咖啡職人培訓班，由樹德科技大學師資指導手沖技巧，結業後參與居家修繕與二手家電維修宣傳並累積服務時數；設計「學習護照」集點機制兌換咖啡或在地產品，並推廣 CSMS 平台操作教學。","","","","是","22"
"C023","臺南市永康區西灣社區發展協會","臺南市","永康區","臺南市永康區西灣里永華路201巷12號","23.010501","120.258895","西灣社區以數位管理、LINE資訊及志工關懷回應高齡生活需求，推動如同第三家庭的社區支持。透過防災資訊、健康回報、QR Code簽到試辦與跨社區交流，逐步降低資訊落差，並盤點退休人才，擴展居民參與及互助能量。","建立數位化管理機制，整合課程、設備試辦及服務紀錄，提升資料完整性並縮短行政流程；以 LINE 官方帳號整合防災資訊與健康回報功能；推動「第三家庭」概念與「孤獨處方箋計畫」，連結志工團體並建立服務督導機制；4 月舉辦「示範領航・共生共好」跨社區交流會議，凝聚建立人才庫、強化數位平台功能等共識；試辦 QR Code 簽到系統與數位巡邏管理。","","","","是","23"
"C024","高雄市前鎮區路中廟社區發展協會","高雄市","前鎮區","高雄市前鎮區竹西里廣東三街73號3樓","22.609304","120.319865","路中廟社區以時間銀行與時光咖啡屋串聯居民專長，打造交流、培力及互助的公共空間。結合青年服務與任務化散步，促進長者活動及跨世代互動，並規劃AI應用社團，探索以數位工具支持時間交換與社群服務的共生方式。","將傳統時間銀行機制轉化為現代化資源共享平台，讓居民專長得以發揮；「路中廟時光咖啡屋」結合培力、交流及服務，成為公共參與的社會創新據點；規劃成立「社區 AI 應用社團」，以分組運作與固定聚會推動長者同儕學習；與中正高工童軍社合作導入青年參與，以「任務化散步」促進跨世代互動與長者身體活動量。","","","","是","24"
"C025","高雄市林園區文賢社區發展協會","高雄市","林園區","高雄市林園區林園里林園北路179號","22.502668","120.393254","文賢社區以跨世代科技共學為核心，由青年與社區志工陪伴長者學習手機及雲端工具。結合送餐、實物銀行與高齡照護服務，逐步導入通報及資料管理，也透過環保手作與居民回饋，促進在地參與和資源共享。","辦理「數位培訓課程」與「跨世代智慧文化工作坊」，由青年志工陪伴長者學習手機應用及雲端資料管理系統；以送餐、實物銀行、高齡照護等六大核心服務為基礎，建置智慧通報群組與雲端資料管理系統；試辦「洋蔥手抄紙」與「環保家事皂」等環境永續專案；以問卷、表單蒐集居民意見，建立由下而上的參與模式；規劃以影像與 AI 技術保存社區文化歷史。","","","","是","25"
"C026","臺南市北區勝安社區發展協會","臺南市","北區","臺南市北區長勝里長榮路五段41巷46號A棟1樓","23.012594","120.21999","勝安社區結合社區地圖踏查、志工陪伴與數位工具，支持長者認識生活環境並參與公共事務。串聯大學團隊盤點需求，運用地方故事與文化記憶促進世代交流，並連結健康活動、愛心餐與生活支持，逐步建立在地共生網絡。","由社會局輔導「動齡長勝」社區親職健康行動，以社區地圖踏查與安全地點辨識提升長者環境熟悉度；建立階梯式志工訓練制度，並結合成功大學 USR 團隊進行需求盤點與智慧平台設計；4 月 21 日辦理「臺南市智慧共生示範社區推動實務交流會議」，提出建置人才庫、技術支援對接等重點；以「回憶時光機」保存眷村與閩南族群文化記憶；整合「臺南共照雲」資訊系統與愛心餐等生活支持資源。","","","","是","26"
"C027","金門縣金湖鎮下莊社區發展協會","金門縣","金湖鎮","金門縣金湖鎮山外里下莊50號","24.451645","118.427875","下莊社區由六個散落的聚落組成，銀髮志工帶著繪本走進幼兒園，以戰地故事與孩童交流，也在松柏園舞台演出，讓長者從被照顧者轉為服務者。面對聚落分散、交通接送與數位落差的挑戰，社區持續推動志工培力與代間共學，串聯金門大學青年學子，逐步鋪出在地接班的路徑。","以社區照顧關懷據點推動「角色翻轉」，銀髮志工帶繪本進幼兒園講戰地故事，並於松柏園舞台表演服務；在「大旗艦計畫」下辦理志工能量再進化課程與代間共學活動，以「大手牽小手暑期營」連結不同世代；串聯金門大學學生與社區兒童互動，形成「兒童至青年」的培育路徑；面對六個聚落分散、533 位居民中 65 歲以上佔 23% 的人口結構，持續推動數位培力，並整理健康管理、青銀共創經驗作為其他社區參考案例。","","","","是","27"
"C028","屏東縣內埔鄉黎明社區發展協會","屏東縣","內埔鄉","屏東縣內埔鄉黎明村黎東路353號","22.68956","120.602514","黎明社區與屏東科技大學合作，透過古厝景觀改善、燒杉木作及老樹修整，讓青年專業與居民經驗共同發揮。結合志工互助任務、新住民美食交流及獨老關懷，也嘗試3D列印與雷雕，讓環境維護、文化交流及科技創作走進社區。","與屏東科技大學合作，運用日本燒杉技術打造木製圍欄，5 月 2 日完成汪家古厝前的景觀改造；媒合屏科大森林系團隊為村內百年老龍眼樹進行專業修剪；吸引企業投入資源，達成「零預算消耗」並成功引進非計畫經費；建置「社區共好行動平台」，將植栽維護納入志工互助點數任務；辦理新住民國際美食聯誼、母親節康乃馨課程與獨老關懷，並導入 3D 列印與雷雕製作活動小禮物。","","","","是","28"
"C029","臺東縣卑南鄉賓朗村辦公室","臺東縣","卑南鄉","臺東縣卑南鄉賓朗村18鄰賓朗路474巷3號","22.808209","121.092904","賓朗村以健康活動結合TTPush電子金幣，探索運動參與與在地消費相連的互助模式。青年志工陪伴長者使用健康監測設備，長者分享歌謠與農耕知識，形成科技與文化的雙向學習，並逐步串聯商家，拓展社區生活支持。","推動「運動換金幣」，長者於社區健康站量測步數、血壓與體脂後獲得 TTPush 電子金幣，可用於村內在地消費；組成 10 名跨族群「數位互助團」，含卑南族長者、閩南新住民與返鄉青年，擔任技術引導者與文化導師；與臺東縣政府國際發展及計畫處協調，8 月前完成 2 家在地商家 TTPush 特約店簽約測試；參與長者運動頻率提升 37%，商家在地消費額增加 22%。","","","","是","29"
"C030","花蓮縣花蓮市碧雲莊社區發展協會","花蓮縣","花蓮市","花蓮縣花蓮市國興里介禮街46號","23.997208","121.573083","碧雲莊社區以雲幣串聯健康課程、志工服務及在地交流，讓居民的付出轉化為可回饋的社區資源。透過運動體驗、智慧健身設備與青年陪伴，協助長者建立健康習慣、學習數位工具，也讓青年在推廣與服務中深化社區參與。","推動「雲幣」社區貨幣制度，以「免費體驗堂」讓既有據點長者先體驗運動課程，再轉化為正式會員；培訓「暑期職場體驗青年」擔任雲幣 APP 推廣專員，結合小型市集精準曝光；導入智慧健身設備與 AI 數據分析，建立個人化健康管理系統；形成「勞力付出→點數累積→回饋兌換」的良性循環，並以「老老互助」協助長者建立運動習慣；現有 70 位成熟志工投入。","","","","是","30"
